"Department","Vote","App id","MCOA id","Description","Appropriation Type","Output Expense Type","Functional Classification","Amount ($000)","Year","Amount_Type_Desc","Periodicity"
"Controller and Auditor-General","Audit",8943,8977,"Supporting Accountability to Parliament","Departmental Output Expenses","Permanent Legislative Authority","Core Government Services",677,2007,"Actuals","A"
"Controller and Auditor-General","Audit",8943,8977,"Supporting Accountability to Parliament","Departmental Output Expenses",NA,"Core Government Services",2095,2007,"Actuals","A"
"Controller and Auditor-General","Audit",8946,8977,"Performance Audits and Inquiries","Departmental Output Expenses",NA,"Core Government Services",5992,2007,"Actuals","A"
"Controller and Auditor-General","Audit",8943,8977,"Supporting Accountability to Parliament","Departmental Output Expenses",NA,"Core Government Services",2315,2008,"Actuals","A"
"Controller and Auditor-General","Audit",8946,8977,"Performance Audits and Inquiries","Departmental Output Expenses",NA,"Core Government Services",6223,2008,"Actuals","A"
"Controller and Auditor-General","Audit",8943,8977,"Supporting Accountability to Parliament","Departmental Output Expenses",NA,"Core Government Services",2457,2009,"Actuals","A"
"Controller and Auditor-General","Audit",8946,8977,"Performance Audits and Inquiries","Departmental Output Expenses",NA,"Core Government Services",6159,2009,"Actuals","A"
"Controller and Auditor-General","Audit",8943,8977,"Supporting Accountability to Parliament","Departmental Output Expenses",NA,"Core Government Services",2342,2010,"Actuals","A"
"Controller and Auditor-General","Audit",8946,8977,"Performance Audits and Inquiries","Departmental Output Expenses",NA,"Core Government Services",6044,2010,"Actuals","A"
"Controller and Auditor-General","Audit",8943,8977,"Supporting Accountability to Parliament","Departmental Output Expenses",NA,"Core Government Services",2310,2011,"Estimated Actual","A"
"Controller and Auditor-General","Audit",8946,8977,"Performance Audits and Inquiries","Departmental Output Expenses",NA,"Core Government Services",6237,2011,"Estimated Actual","A"
"Controller and Auditor-General","Audit",8943,8977,"Supporting Accountability to Parliament","Departmental Output Expenses",NA,"Core Government Services",2860,2012,"Main Estimates","A"
"Controller and Auditor-General","Audit",8946,8977,"Performance Audits and Inquiries","Departmental Output Expenses",NA,"Core Government Services",6587,2012,"Main Estimates","A"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Departmental Output Expenses",NA,"Core Government Services",150,2008,"Actuals","A"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Departmental Output Expenses",NA,"Core Government Services",150,2009,"Actuals","A"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Departmental Output Expenses",NA,"Core Government Services",150,2010,"Actuals","A"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Departmental Output Expenses",NA,"Core Government Services",150,2011,"Estimated Actual","A"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Departmental Output Expenses",NA,"Core Government Services",150,2012,"Main Estimates","A"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Departmental Output Expenses","Revenue Dependent","Core Government Services",58581,2007,"Actuals","A"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Departmental Output Expenses","Revenue Dependent","Core Government Services",58474,2008,"Actuals","A"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Departmental Output Expenses","Revenue Dependent","Core Government Services",60452,2009,"Actuals","A"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Departmental Output Expenses","Revenue Dependent","Core Government Services",62587,2010,"Actuals","A"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Departmental Output Expenses","Revenue Dependent","Core Government Services",64797,2011,"Estimated Actual","A"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Departmental Output Expenses","Revenue Dependent","Core Government Services",71451,2012,"Main Estimates","A"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",699,2008,"Actuals","A"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",716,2009,"Actuals","A"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",662,2010,"Actuals","A"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",803,2011,"Estimated Actual","A"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",803,2012,"Main Estimates","A"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",779,2008,"Actuals","A"
