"Department","Vote","App ID","Parent ID","Appropriation Name","Category Name","Group Type","IsMCA","Appropriation Type","Restriction Type","Functional Classification","Amount ($000)","Year","Amount Type","Periodicity","Current Scope"
"Controller and Auditor-General","Audit",8943,8977,"Statutory Auditor Function","Supporting Accountability to Parliament","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",2342,2010,"Actuals","A","This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General","Audit",8946,8977,"Statutory Auditor Function","Performance Audits and Inquiries","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",6044,2010,"Actuals","A","This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General","Audit",8943,8977,"Statutory Auditor Function","Supporting Accountability to Parliament","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",2442,2011,"Actuals","A","This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General","Audit",8946,8977,"Statutory Auditor Function","Performance Audits and Inquiries","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",5991,2011,"Actuals","A","This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General","Audit",8943,8977,"Statutory Auditor Function","Supporting Accountability to Parliament","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",3048,2012,"Actuals","A","This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General","Audit",8946,8977,"Statutory Auditor Function","Performance Audits and Inquiries","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",5790,2012,"Actuals","A","This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General","Audit",8946,8977,"Statutory Auditor Function","Performance Audits and Inquiries","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",6550,2013,"Actuals","A","This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Controller and Auditor-General","Audit",8943,8977,"Statutory Auditor Function","Supporting Accountability to Parliament","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",2515,2013,"Actuals","A","This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General","Audit",8943,8977,"Statutory Auditor Function","Supporting Accountability to Parliament","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",3235,2014,"Estimated Actual","A","This output class is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General","Audit",8946,8977,"Statutory Auditor Function","Performance Audits and Inquiries","MCOA","No","Departmental Output Expenses",NA,"Core Government Services",6087,2014,"Estimated Actual","A","This output class is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
