"Department","Vote","App ID","Parent ID","Appropriation Name","Category Name","Group Type","Appropriation or Category Type","Restriction Type","Functional Classification","Amount $000","Year","Amount Type","Periodicity","Current Scope","M Number","Portfolio Name"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses",NA,"Core Government Services",150,2019,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses",NA,"Core Government Services",3535,2020,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses",NA,"Core Government Services",150,2021,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses",NA,"Core Government Services",5078,2022,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses",NA,"Core Government Services",13527,2023,"Estimated Actual","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses",NA,"Core Government Services",13833,2024,"Main Estimates","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses","Revenue Dependent","Core Government Services",82570,2019,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses","Revenue Dependent","Core Government Services",81818,2020,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses","Revenue Dependent","Core Government Services",95011,2021,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses","Revenue Dependent","Core Government Services",93468,2022,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses","Revenue Dependent","Core Government Services",109155,2023,"Estimated Actual","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","Departmental Output Expenses","Revenue Dependent","Core Government Services",118026,2024,"Main Estimates","A","This appropriation is limited to audit and related assurance services as required or authorised by statute.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",1064,2019,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",1099,2020,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",1011,2021,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",1099,2022,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",1099,2023,"Estimated Actual","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",1099,2024,"Main Estimates","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1090,2019,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1520,2020,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1389,2021,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",2283,2022,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",3924,2023,"Estimated Actual","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",4297,2024,"Main Estimates","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11131,11066,"Statutory Auditor Function","Supporting Accountability to Parliament","MCA","Departmental Output Expenses",NA,"Core Government Services",3444,2019,"Actuals","A","This category is limited to reporting to Parliament and others as appropriate on matters arising from audits, inquiries, and other studies, reporting to and advising select committees, and advising other agencies in New Zealand and internationally to support Parliament and governing bodies in holding their executives to account for the use of public resources.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11134,11066,"Statutory Auditor Function","Performance Audits, Inquiries, and other studies","MCA","Departmental Output Expenses",NA,"Core Government Services",6226,2019,"Actuals","A","This category is limited to undertaking and reporting on performance audits, inquiries, and other studies relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities (Members’ Interests) Act 1968.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11131,11066,"Statutory Auditor Function","Supporting Accountability to Parliament","MCA","Departmental Output Expenses",NA,"Core Government Services",6620,2020,"Actuals","A","This category is limited to reporting to Parliament and others as appropriate on matters arising from audits, inquiries, and other studies, reporting to and advising select committees, and advising other agencies in New Zealand and internationally to support Parliament and governing bodies in holding their executives to account for the use of public resources.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11134,11066,"Statutory Auditor Function","Performance Audits, Inquiries, and other studies","MCA","Departmental Output Expenses",NA,"Core Government Services",6789,2020,"Actuals","A","This category is limited to undertaking and reporting on performance audits, inquiries, and other studies relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities (Members’ Interests) Act 1968.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11131,11066,"Statutory Auditor Function","Supporting Accountability to Parliament","MCA","Departmental Output Expenses",NA,"Core Government Services",6934,2021,"Actuals","A","This category is limited to reporting to Parliament and others as appropriate on matters arising from audits, inquiries, and other studies, reporting to and advising select committees, and advising other agencies in New Zealand and internationally to support Parliament and governing bodies in holding their executives to account for the use of public resources.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11134,11066,"Statutory Auditor Function","Performance Audits, Inquiries, and other studies","MCA","Departmental Output Expenses",NA,"Core Government Services",9319,2021,"Actuals","A","This category is limited to undertaking and reporting on performance audits, inquiries, and other studies relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities (Members’ Interests) Act 1968.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11131,11066,"Statutory Auditor Function","Supporting Accountability to Parliament","MCA","Departmental Output Expenses",NA,"Core Government Services",7461,2022,"Actuals","A","This category is limited to reporting to Parliament and others as appropriate on matters arising from audits, inquiries, and other studies, reporting to and advising select committees, and advising other agencies in New Zealand and internationally to support Parliament and governing bodies in holding their executives to account for the use of public resources.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11134,11066,"Statutory Auditor Function","Performance Audits, Inquiries, and other studies","MCA","Departmental Output Expenses",NA,"Core Government Services",8612,2022,"Actuals","A","This category is limited to undertaking and reporting on performance audits, inquiries, and other studies relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities (Members’ Interests) Act 1968.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11131,11066,"Statutory Auditor Function","Supporting Accountability to Parliament","MCA","Departmental Output Expenses",NA,"Core Government Services",6459,2023,"Estimated Actual","A","This category is limited to reporting to Parliament and others as appropriate on matters arising from audits, inquiries, and other studies, reporting to and advising select committees, and advising other agencies in New Zealand and internationally to support Parliament and governing bodies in holding their executives to account for the use of public resources.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11134,11066,"Statutory Auditor Function","Performance Audits, Inquiries, and other studies","MCA","Departmental Output Expenses",NA,"Core Government Services",14419,2023,"Estimated Actual","A","This category is limited to undertaking and reporting on performance audits, inquiries, and other studies relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities (Members’ Interests) Act 1968.",78,"Speaker of the House of Representatives"
"Controller and Auditor-General","Audit",11131,11066,"Statutory Auditor Function","Supporting Accountability to Parliament","MCA","Departmental Output Expenses",NA,"Core Government Services",6901,2024,"Main Estimates","A","This category is limited to reporting to Parliament and others as appropriate on matters arising from audits, inquiries, and other studies, reporting to and advising select committees, and advising other agencies in New Zealand and internationally to support Parliament and governing bodies in holding their executives to account for the use of public resources.",78,"Speaker of the House of Representatives"
