"","Electorate","ACT.NEW.ZEALAND","ANIMAL.JUSTICE.PARTY","AOTEAROA.LEGALISE.CANNABIS.PARTY","DEMOCRACYNZ","FREEDOMS.NZ","GREEN.PARTY","LABOUR.PARTY","LEIGHTON.BAKER","NATIONAL.PARTY","NEW.CONSERVATIVES","NEW.NATION.PARTY","NEW.ZEALAND.FIRST.PARTY","NZ.LOYAL","NEWZEAL","TE.PĀTI.MĀORI","THE.OPPORTUNITIES.PARTY..TOP.","WOMEN.S.RIGHTS.PARTY","Total.Valid.Party.Votes","Informal.Party.Votes","Total.Party.Votes.Counted"
"1","Auckland Central","3,301","50","142","32","48","8,503","8,028","3","11,751","30","26","1,351","217","38","563","1,250","45","35,378","85","35,463"
"2","Banks Peninsula","3,919","111","182","146","61","9,763","13,200","53","15,839","62","22","2,658","389","323","388","2,401","42","49,559","194","49,753"
"3","Bay of Plenty","5,212","88","193","79","140","3,635","7,905","58","21,452","56","24","3,957","714","444","577","894","24","45,452","209","45,661"
"4","Botany","2,788","98","106","29","127","2,212","7,708","12","22,239","86","37","1,136","280","156","188","439","27","37,668","189","37,857"
"5","Christchurch Central","2,646","106","174","82","71","7,746","11,357","51","12,403","78","36","2,073","253","108","405","2,042","59","39,690","166","39,856"
"6","Christchurch East","2,786","114","223","106","114","5,675","13,418","118","11,208","175","24","2,676","402","205","415","1,339","46","39,044","203","39,247"
"7","Coromandel","5,588","51","185","99","126","3,672","9,223","32","20,206","43","19","4,895","1,580","270","362","509","32","46,892","284","47,176"
"8","Dunedin","2,460","57","159","25","44","11,449","13,160","19","9,652","94","18","2,396","402","114","613","1,810","35","42,507","129","42,636"
"9","East Coast","3,599","43","164","199","178","3,015","12,054","29","14,908","56","20","3,896","546","247","915","460","25","40,354","264","40,618"
"10","East Coast Bays","3,774","62","105","34","51","3,462","5,716","7","22,508","58","24","1,532","386","409","137","646","32","38,943","136","39,079"
"11","Epsom","5,041","46","66","16","34","5,507","5,945","2","20,948","28","5","1,059","123","76","299","1,307","26","40,528","109","40,637"
"12","Hamilton East","3,085","69","110","39","80","4,718","9,497","25","16,373","91","19","1,914","341","204","565","1,040","40","38,210","173","38,383"
"13","Hamilton West","3,398","94","169","55","141","3,863","10,242","17","16,026","97","24","2,410","322","163","711","967","37","38,736","176","38,912"
"14","Hutt South","2,493","77","147","53","99","6,727","14,087","21","14,772","50","2","2,257","324","215","581","1,448","32","43,385","191","43,576"
"15","Ilam","3,557","50","179","101","50","6,398","9,402","27","18,470","96","23","1,729","150","85","265","2,138","47","42,767","136","42,903"
"16","Invercargill","3,967","68","235","48","137","2,332","9,589","32","16,027","54","29","2,778","1,099","212","278","482","38","37,405","315","37,720"
"17","Kaikōura","5,911","73","176","269","97","3,282","8,714","98","17,281","111","43","3,819","850","261","215","703","36","41,939","282","42,221"
"18","Kaipara ki Mahurangi","6,011","113","186","300","126","4,767","8,450","24","23,725","75","31","3,311","874","365","338","914","44","49,654","148","49,802"
"19","Kelston","1,990","56","125","97","93","4,709","12,460","12","10,442","70","12","1,580","238","267","591","650","30","33,422","208","33,630"
"20","Mana","2,250","86","161","52","110","6,297","16,016","13","12,084","46","17","2,215","300","275","792","1,158","46","41,918","173","42,091"
"21","Māngere","624","41","120","17","266","2,306","18,042","12","5,656","54","11","973","94","244","628","272","26","29,386","327","29,713"
"22","Manurewa","806","48","136","18","362","1,777","15,623","14","8,808","56","39","1,037","137","233","632","179","39","29,944","369","30,313"
"23","Maungakiekie","2,863","51","111","25","89","4,964","9,801","5","14,935","45","7","1,379","157","142","336","952","30","35,892","149","36,041"
"24","Mt Albert","2,681","51","115","21","60","10,023","10,341","5","12,706","30","9","1,219","147","83","641","1,474","39","39,645","121","39,766"
"25","Mt Roskill","2,227","49","97","20","93","4,422","10,959","4","15,828","67","9","1,294","131","196","289","765","24","36,474","256","36,730"
"26","Napier","4,503","69","199","205","79","3,476","10,810","26","16,670","44","18","2,794","514","215","380","621","36","40,659","240","40,899"
"27","Nelson","4,428","75","187","100","263","6,154","12,520","31","13,856","82","15","2,612","642","290","343","1,058","50","42,706","254","42,960"
"28","New Lynn","3,183","69","152","72","104","6,859","11,020","7","15,287","60","15","2,020","454","221","502","903","40","40,968","230","41,198"
"29","New Plymouth","4,388","88","202","54","149","3,674","10,442","24","18,208","54","117","3,134","942","180","617","848","51","43,172","163","43,335"
"30","North Shore","4,540","48","111","35","53","4,851","7,318","7","21,050","53","24","1,604","209","133","207","1,055","42","41,340","100","41,440"
"31","Northcote","3,381","81","118","38","103","5,548","9,014","8","16,975","54","14","1,641","216","139","295","1,208","38","38,871","182","39,053"
"32","Northland","4,729","114","307","784","208","3,705","10,211","57","16,418","64","64","6,523","1,529","280","716","577","41","46,327","161","46,488"
"33","Ōhāriu","2,524","62","114","25","58","8,623","12,457","12","14,841","65","11","1,442","112","119","519","1,882","31","42,897","121","43,018"
"34","Ōtaki","3,306","89","158","48","137","4,703","13,709","17","16,520","52","20","3,437","637","210","510","692","34","44,279","270","44,549"
"35","Pakuranga","3,638","96","115","30","87","2,650","6,124","15","21,458","54","5","1,397","236","136","184","531","27","36,783","136","36,919"
"36","Palmerston North","2,970","96","199","47","77","4,454","11,293","23","12,195","61","17","2,242","437","290","625","821","30","35,877","201","36,078"
"37","Panmure-Ōtāhuhu","1,100","50","133","20","222","2,601","16,024","7","8,074","37","13","1,001","124","187","410","369","33","30,405","318","30,723"
"38","Papakura","4,264","61","162","62","210","2,710","8,893","11","22,042","55","19","2,238","418","260","451","542","33","42,431","225","42,656"
"39","Port Waikato","5,107","94","177","232","150","2,486","7,918","25","21,277","66","22","3,146","552","229","381","508","29","42,399","258","42,657"
"40","Rangitata","4,082","62","211","123","68","2,351","10,660","75","18,167","148","55","3,010","586","148","156","522","37","40,461","188","40,649"
"41","Rangitīkei","5,655","82","206","142","97","3,061","8,993","30","17,018","73","24","3,768","622","260","577","630","35","41,273","150","41,423"
"42","Remutaka","2,476","96","177","55","147","5,068","16,000","13","12,726","71","12","2,441","261","500","511","1,147","35","41,736","410","42,146"
"43","Rongotai","1,680","85","153","21","61","13,664","13,361","6","9,088","35","13","1,411","126","67","1,006","1,792","46","42,615","206","42,821"
"44","Rotorua","3,543","54","177","107","233","2,885","8,922","28","15,317","50","35","2,835","618","491","851","638","33","36,817","216","37,033"
"45","Selwyn","5,895","91","184","89","62","4,340","8,805","41","23,959","136","30","2,633","430","225","235","1,311","39","48,505","119","48,624"
"46","Southland","5,412","65","217","60","91","3,482","6,546","20","19,222","32","35","2,258","974","246","190","810","28","39,688","148","39,836"
"47","Taieri","3,345","75","200","66","57","4,581","14,507","23","14,206","32","11","3,259","477","207","245","929","39","42,259","247","42,506"
"48","Takanini","2,202","82","108","32","208","2,277","11,181","16","21,056","68","14","1,267","135","299","440","333","25","39,743","320","40,063"
"49","Tāmaki","5,172","51","88","34","47","4,582","7,009","6","21,916","29","6","1,198","167","82","288","980","28","41,683","128","41,811"
"50","Taranaki-King Country","5,484","66","165","77","137","2,828","7,022","43","19,281","104","31","3,398","800","229","494","645","32","40,836","209","41,045"
"51","Taupō","4,960","50","178","75","134","2,773","9,686","36","19,966","66","20","3,508","961","208","567","644","26","43,858","170","44,028"
"52","Tauranga","4,471","85","124","66","171","3,766","7,664","24","19,345","101","39","3,753","470","463","440","935","35","41,952","162","42,114"
"53","Te Atatū","2,412","67","151","37","106","4,199","12,460","16","14,045","67","25","1,681","282","354","588","603","40","37,133","255","37,388"
"54","Tukituki","5,117","68","228","71","123","3,284","10,518","35","17,165","64","14","2,550","620","432","410","587","39","41,325","264","41,589"
"55","Upper Harbour","3,483","48","141","33","92","3,872","9,314","12","20,689","93","4","1,671","275","207","328","884","31","41,177","248","41,425"
"56","Waikato","5,294","77","190","86","142","2,376","7,612","28","21,749","102","19","3,319","721","238","415","742","36","43,146","196","43,342"
"57","Waimakariri","4,941","102","179","461","82","3,996","11,317","302","19,969","108","20","3,285","440","199","238","1,034","48","46,721","142","46,863"
"58","Wairarapa","4,752","81","207","72","93","3,676","12,223","35","17,397","58","32","3,655","1,027","156","455","708","47","44,674","199","44,873"
"59","Waitaki","5,473","64","158","281","61","4,014","9,575","33","19,281","72","10","3,103","902","281","182","873","30","44,393","220","44,613"
"60","Wellington Central","2,075","61","136","18","32","17,332","11,436","11","9,855","31","14","1,029","80","57","1,106","2,536","54","45,863","126","45,989"
"61","West Coast-Tasman","5,488","99","281","136","289","4,521","9,970","40","14,042","63","19","4,154","1,489","254","290","792","46","41,973","236","42,209"
"62","Whanganui","3,749","99","214","77","88","2,980","11,002","20","14,567","105","17","4,494","544","315","602","463","30","39,366","210","39,576"
"63","Whangaparāoa","5,627","91","131","157","92","3,584","7,202","29","25,091","65","16","2,952","630","460","222","770","36","47,155","120","47,275"
"64","Whangārei","3,954","77","249","352","110","4,075","9,698","32","16,441","55","35","5,673","905","336","591","730","35","43,348","286","43,634"
"65","Wigram","2,465","95","201","65","59","5,634","11,249","66","13,401","104","29","1,922","253","189","316","1,783","37","37,868","196","38,064"
"66","General Electorate Totals","244,245","4,817","10,754","6,507","7,579","312,919","682,622","1,983","1,076,077","4,441","1,483","165,002","32,273","15,127","29,607","61,675","2,363","2,659,474","13,222","2,672,696"
"67","Hauraki-Waikato","294","14","254","23","323","1,893","11,508","11","1,292","15","8","974","310","128","8,503","186","19","25,755","497","26,252"
"68","Ikaroa-Rāwhiti","209","26","280","26","169","1,802","14,775","9","964","18","9","927","257","180","6,722","138","18","26,529","436","26,965"
"69","Tāmaki Makaurau","254","27","246","28","478","3,229","11,571","7","1,269","13","2","927","174","121","8,046","248","25","26,665","373","27,038"
"70","Te Tai Hauāuru","284","32","299","31","219","2,091","11,123","18","1,248","17","6","1,140","351","137","9,529","178","20","26,723","461","27,184"
"71","Te Tai Tokerau","307","28","468","72","245","2,731","12,653","12","1,545","10","6","1,917","401","161","7,690","211","16","28,473","410","28,883"
"72","Te Tai Tonga","659","50","479","68","156","4,605","10,396","50","2,453","11","12","1,557","471","122","6,447","549","22","28,107","302","28,409"
"73","Waiariki","221","24","245","31","417","1,637","12,892","15","1,003","7","4","1,109","241","150","11,300","159","30","29,485","566","30,051"
"74","Māori Electorate Totals","2,228","201","2,271","279","2,007","17,988","84,918","122","9,774","91","47","8,551","2,205","999","58,237","1,669","150","191,737","3,045","194,782"
"75","Combined Totals","246,473","5,018","13,025","6,786","9,586","330,907","767,540","2,105","1,085,851","4,532","1,530","173,553","34,478","16,126","87,844","63,344","2,513","2,851,211","16,267","2,867,478"
