id,width,height,url,photographer,photographer_url,photographer_id,avg_color,original,large2x,large,medium,small,portrait,landscape,tiny,liked,alt,half_width,half_height,photographer_name_lower
28206822,4160,6240,https://www.pexels.com/photo/two-penguins-swimming-in-water-with-their-heads-above-the-water-28206822/,Ichear Xue,https://www.pexels.com/@ichear-xue-506656275,506656275,#445664,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28206822/pexels-photo-28206822.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Close-up view of penguins swimming underwater, illustrating their graceful aquatic movement in an aquarium.",2080,3120,ichear xue
28281796,4480,6720,https://www.pexels.com/photo/penguins-are-standing-on-a-rock-in-an-aquarium-28281796/,Boris Hamer,https://www.pexels.com/@borishamer,314917712,#657374,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/28281796/pexels-photo-28281796.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Humboldt penguins on rocky terrain by water, showcasing natural wildlife scenery.",2240,3360,boris hamer
11740587,5184,3456,https://www.pexels.com/photo/penguins-on-shore-11740587/,Charmain Jansen van Rensburg,https://www.pexels.com/@charmain,208940213,#8C9DAD,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/11740587/pexels-photo-11740587.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,African penguins gathered on a rocky beach by the sea on a sunny day with clear blue skies.,2592,1728,charmain jansen van rensburg
27560556,6000,4000,https://www.pexels.com/photo/little-penguin-27560556/,Colin Christie,https://www.pexels.com/@colin-christie-1108918809,1108918809,#949494,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/27560556/pexels-photo-27560556.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A detailed portrait of a little penguin in natural habitat on the Gold Coast, Australia.",3000,2000,colin christie
4810676,5616,3744,https://www.pexels.com/photo/underwater-photo-of-little-blue-penguin-4810676/,Shuxuan Cao,https://www.pexels.com/@maotuizhutuzi,2860221,#1E353C,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/4810676/pexels-photo-4810676.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Close-up of a Little Blue Penguin swimming underwater, showcasing aquatic wildlife.",2808,1872,shuxuan cao
29696682,4211,6317,https://www.pexels.com/photo/gentoo-penguin-in-a-cool-arctic-setting-29696682/,Luis Hernandez,https://www.pexels.com/@luis-hernandez-907979595,907979595,#405874,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/29696682/pexels-photo-29696682.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Close-up of a Gentoo penguin with distinctive orange beak in a calming arctic environment.,2105.5,3158.5,luis hernandez
425038,5184,3888,https://www.pexels.com/photo/penguin-standing-on-rock-near-body-of-water-425038/,SevenStorm JUHASZIMRUS,https://www.pexels.com/@sevenstormphotography,106219,#5D9484,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/425038/pexels-photo-425038.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Charming Humboldt penguins perched on rocks by a vibrant turquoise pool.,2592,1944,sevenstorm juhaszimrus
986805,5472,3648,https://www.pexels.com/photo/black-and-white-penguins-986805/,Magda Ehlers,https://www.pexels.com/@magda-ehlers-pexels,102775,#696A6B,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/986805/pexels-photo-986805.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"African penguins standing on rocks, showcasing their natural habitat and behavior.",2736,1824,magda ehlers
13079679,4912,7360,https://www.pexels.com/photo/penguin-swimming-underwater-13079679/,Tenerife Photos and Images,https://www.pexels.com/@tenerife-photos-and-images-282935795,282935795,#DCDCDC,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/13079679/pexels-photo-13079679.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A penguin gracefully swims underwater, illuminated by natural sun rays.",2456,3680,tenerife photos and images
9462875,2835,3731,https://www.pexels.com/photo/a-girl-in-orange-shirt-looking-at-the-penguin-9462875/,Nathan J Hilton,https://www.pexels.com/@nathanjhilton,2416310,#5E716D,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/9462875/pexels-photo-9462875.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Little girl captivated by a penguin swimming at Blackpool aquarium, UK.",1417.5,1865.5,nathan j hilton
14623863,2592,3888,https://www.pexels.com/photo/a-penguin-in-the-water-14623863/,John Farias,https://www.pexels.com/@johnfarias,376400970,#355957,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/14623863/pexels-photo-14623863.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Close-up of a Humboldt penguin swimming underwater, showcasing its sleek form and aquatic environment.",1296,1944,john farias
27546078,6000,4000,https://www.pexels.com/photo/a-humboldt-penguin-in-the-water-27546078/,Joerg Hartmann,https://www.pexels.com/@joerg-hartmann-626385254,626385254,#243F20,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/27546078/pexels-photo-27546078.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"Humboldt penguin swims elegantly in lush green water, showcasing natural beauty.",3000,2000,joerg hartmann
31587885,9504,6336,https://www.pexels.com/photo/humboldt-penguin-swimming-in-zoo-pool-31587885/,Lars H Knudsen,https://www.pexels.com/@farlight,1554090,#5D5C58,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/31587885/pexels-photo-31587885.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,Humboldt penguin enjoying a swim in a calm zoo pool with its reflection visible in the water.,4752,3168,lars h knudsen
15672821,3793,4741,https://www.pexels.com/photo/penguin-swimming-underwater-15672821/,Chemsou,https://www.pexels.com/@chemsou-464799972,464799972,#072B39,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&h=350,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&h=130,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=1200&w=800,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200,https://images.pexels.com/photos/15672821/pexels-photo-15672821.jpeg?auto=compress&cs=tinysrgb&dpr=1&fit=crop&h=200&w=280,FALSE,"A penguin elegantly swims underwater in the ocean, captured in a vertical shot.",1896.5,2370.5,chemsou
