school_id,org_name,url,latitude,longitude,school_donations,total,regional_council,org_type,telephone
241,Wairarapa College,http://www.waicol.co.nz,-40.950301,175.646283,"Donations should not be requested, unless for a school camp",1014,Wellington Region,Secondary (Year 9-15),06-3700400
274,Wellington East Girls' College,http://www.wegc.school.nz,-41.302357,174.785007,Donations may be requested,1023,Wellington Region,Secondary (Year 9-15),04-3858514
242,Solway College,http://www.solwaycollege.school.nz,-40.9564,175.630829,Donations may be requested,192,Wellington Region,Secondary (Year 7-15),06-3782219
251,Heretaunga College,http://www.heretaunga.school.nz,-41.129088,175.055075,"Donations should not be requested, unless for a school camp",866,Wellington Region,Secondary (Year 9-15),04-9399370
252,St Patrick's College (Silverstream),http://www.stream.school.nz,-41.146109,175.012684,Donations may be requested,746,Wellington Region,Secondary (Year 9-15),04-9394224
265,St Oran's College,http://www.storans.school.nz,-41.204307,174.916426,Donations may be requested,507,Wellington Region,Secondary (Year 7-15),04-9391260
275,Wellington College,http://www.wellington-college.school.nz,-41.303611,174.781374,Donations may be requested,1952,Wellington Region,Secondary (Year 9-15),04-8022520
246,St Matthew's Collegiate (Masterton),http://www.stmatts.school.nz,-40.945161,175.650439,Donations may be requested,293,Wellington Region,Secondary (Year 7-15),06-3700067
253,Aotea College,http://www.aotea.school.nz,-41.125156,174.854396,"Donations should not be requested, unless for a school camp",1350,Wellington Region,Secondary (Year 9-15),04-2373166
268,Newlands College,http://www.newlands.school.nz,-41.218096,174.82276,Donations may be requested,1261,Wellington Region,Secondary (Year 9-15),04-4734136
272,Wellington Girls' College,http://www.wgc.school.nz,-41.275422,174.780673,Donations may be requested,1449,Wellington Region,Secondary (Year 9-15),04-4725743
260,St Bernard's College,http://www.sbc.school.nz,-41.210301,174.916695,"Donations should not be requested, unless for a school camp",675,Wellington Region,Secondary (Year 7-15),04-5609250
262,Sacred Heart College (Lower Hutt),http://www.sacredheartcollege.school.nz,-41.213997,174.906699,Donations may be requested,846,Wellington Region,Secondary (Year 9-15),04-5661089
269,Onslow College,http://www.onslow.school.nz,-41.231916,174.797672,Donations may be requested,1293,Wellington Region,Secondary (Year 9-15),04-4788189
243,Mākoura College,http://www.mc.school.nz,-40.961323,175.666496,"Donations should not be requested, unless for a school camp",328,Wellington Region,Secondary (Year 9-15),06-3786074
