year,school_operations,school_id
2022,3083810,241
2022,2458238,274
2022,691452,242
2022,2482560,251
2022,1746448,252
2022,1158193,265
2022,3375236,275
2022,863654,246
2022,2819012,253
2022,2587903,268
2022,2827564,272
2022,1630137,260
2022,1851170,262
2022,2924155,269
2022,1296407,243
2022,2057781,249
2022,3345825,273
2022,692093,284
2022,2411767,259
2022,1936686,478
2022,2291752,255
2022,1930594,254
2022,2764798,257
2022,1431696,258
2022,1626144,240
2022,920812,244
2022,1067451,245
2022,3124938,248
2022,316528,546
2022,2603025,250
2022,1657596,276
2022,1896086,277
2022,1223228,256
2022,3201396,247
2022,1281931,286
2022,1567061,4158
2022,3716096,261
